id,name_id,full_name,first_name,last_name,team,position,age,experience,college,injury_status,weight,height,jersey_number,active,updated_at,created_at
90,kareemhuntrb,Kareem Hunt,Kareem,Hunt,CLE,RB,26,4,Toledo,Questionable,216,"5'11""",27,true,2021-12-05 22:50:31.868162 +00:00,2021-12-05 22:23:32.292549 +00:00
92,kadariustoneywr,Kadarius Toney,Kadarius,Toney,NYG,WR,22,0,Florida,Out,193,"6'0""",89,true,2021-12-05 22:50:31.868795 +00:00,2021-12-05 22:23:32.293973 +00:00
93,darrellhendersonrb,Darrell Henderson,Darrell,Henderson,LAR,RB,24,2,Memphis,,208,"5'8""",27,true,2021-12-05 22:50:31.870024 +00:00,2021-12-05 22:23:32.294661 +00:00
91,kirkcousinsqb,Kirk Cousins,Kirk,Cousins,MIN,QB,33,9,Michigan State,,205,"6'3""",8,true,2021-12-05 22:50:31.869408 +00:00,2021-12-05 22:23:32.293359 +00:00
94,zachwilsonqb,Zach Wilson,Zach,Wilson,NYJ,QB,22,0,BYU,,214,"6'2""",2,true,2021-12-05 22:50:31.870633 +00:00,2021-12-05 22:23:32.295569 +00:00
95,derekcarrqb,Derek Carr,Derek,Carr,LVR,QB,30,7,Fresno State,,210,"6'3""",4,true,2021-12-05 22:50:31.871680 +00:00,2021-12-05 22:23:32.308429 +00:00
96,rondalemoorewr,Rondale Moore,Rondale,Moore,ARI,WR,21,0,Purdue,,180,"5'7""",4,true,2021-12-05 22:50:31.873475 +00:00,2021-12-05 22:23:32.309199 +00:00
97,mikewilliamswr,Mike Williams,Mike,Williams,LAC,WR,27,4,Clemson,,218,"6'4""",81,true,2021-12-05 22:50:31.874210 +00:00,2021-12-05 22:23:32.309855 +00:00
98,tylerlockettwr,Tyler Lockett,Tyler,Lockett,SEA,WR,29,6,Kansas State,,182,"5'10""",16,true,2021-12-05 22:50:31.875292 +00:00,2021-12-05 22:23:32.310426 +00:00
99,dallasgoedertte,Dallas Goedert,Dallas,Goedert,PHI,TE,26,3,South Dakota State,,256,"6'5""",88,true,2021-12-05 22:50:31.876306 +00:00,2021-12-05 22:23:32.311074 +00:00
100,noahfantte,Noah Fant,Noah,Fant,DEN,TE,24,2,Iowa,,249,"6'4""",87,true,2021-12-05 22:50:31.877098 +00:00,2021-12-05 22:23:32.324328 +00:00
103,alexandermattisonrb,Alexander Mattison,Alexander,Mattison,MIN,RB,23,2,Boise State,,215,"5'11""",25,true,2021-12-05 22:50:31.878412 +00:00,2021-12-05 22:23:32.330151 +00:00
101,courtlandsuttonwr,Courtland Sutton,Courtland,Sutton,DEN,WR,26,3,SMU,,216,"6'4""",14,true,2021-12-05 22:50:31.879248 +00:00,2021-12-05 22:23:32.326438 +00:00
104,ryantannehillqb,Ryan Tannehill,Ryan,Tannehill,TEN,QB,33,9,Texas A&M,,217,"6'4""",17,true,2021-12-05 22:50:31.880596 +00:00,2021-12-05 22:23:32.332398 +00:00
105,milessandersrb,Miles Sanders,Miles,Sanders,PHI,RB,24,2,Penn State,Questionable,211,"5'11""",26,true,2021-12-05 22:50:31.881275 +00:00,2021-12-05 22:23:32.339453 +00:00
102,2023early2ndpi,2023 Early 2nd,2023,Early 2nd,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.879894 +00:00,2021-12-05 22:23:32.328282 +00:00
106,michaelgallupwr,Michael Gallup,Michael,Gallup,DAL,WR,25,3,Colorado State,,198,"6'1""",13,true,2021-12-05 22:50:31.881950 +00:00,2021-12-05 22:23:32.341867 +00:00
107,2022early2ndpi,2022 Early 2nd,2022,Early 2nd,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.882599 +00:00,2021-12-05 22:23:32.343712 +00:00
108,mikegesickite,Mike Gesicki,Mike,Gesicki,MIA,TE,26,3,Penn State,,247,"6'6""",88,true,2021-12-05 22:50:31.883249 +00:00,2021-12-05 22:23:32.345570 +00:00
110,dawsonknoxte,Dawson Knox,Dawson,Knox,BUF,TE,25,2,Mississippi,,254,"6'4""",88,true,2021-12-05 22:50:31.884556 +00:00,2021-12-05 22:23:32.355405 +00:00
111,rhamondrestevensonrb,Rhamondre Stevenson,Rhamondre,Stevenson,NEP,RB,23,0,Oklahoma,,228,"6'0""",38,true,2021-12-05 22:50:31.885882 +00:00,2021-12-05 22:23:32.357494 +00:00
112,michaelthomaswr,Michael Thomas,Michael,Thomas,NOS,WR,28,5,Ohio State,PUP,212,"6'3""",13,true,2021-12-05 22:50:31.886758 +00:00,2021-12-05 22:23:32.359253 +00:00
113,bakermayfieldqb,Baker Mayfield,Baker,Mayfield,CLE,QB,26,3,Oklahoma,,215,"6'1""",6,true,2021-12-05 22:50:31.887429 +00:00,2021-12-05 22:23:32.361002 +00:00
59,aaronrodgersqb,Aaron Rodgers,Aaron,Rodgers,GBP,QB,38,16,California,Questionable,225,"6'2""",12,true,2021-12-05 22:50:31.848396 +00:00,2021-12-05 22:23:32.186356 +00:00
60,tuatagovailoaqb,Tua Tagovailoa,Tua,Tagovailoa,MIA,QB,23,1,Alabama,,217,"6'1""",1,true,2021-12-05 22:50:31.849142 +00:00,2021-12-05 22:23:32.199284 +00:00
117,daltonschultzte,Dalton Schultz,Dalton,Schultz,DAL,TE,25,3,Stanford,,244,"6'5""",86,true,2021-12-05 22:50:31.890039 +00:00,2021-12-05 22:23:32.375725 +00:00
118,danieljonesqb,Daniel Jones,Daniel,Jones,NYG,QB,24,2,Duke,Out,221,"6'5""",8,true,2021-12-05 22:50:31.890683 +00:00,2021-12-05 22:23:32.377483 +00:00
119,chubahubbardrb,Chuba Hubbard,Chuba,Hubbard,CAR,RB,22,0,Oklahoma State,,210,"6'1""",30,true,2021-12-05 22:50:31.891515 +00:00,2021-12-05 22:23:32.379236 +00:00
120,cordarrellepattersonwr,Cordarrelle Patterson,Cordarrelle,Patterson,ATL,WR,30,8,Tennessee,,220,"6'2""",84,true,2021-12-05 22:50:31.892149 +00:00,2021-12-05 22:23:32.386984 +00:00
121,allenrobinsonwr,Allen Robinson,Allen,Robinson,CHI,WR,28,7,Penn State,Out,220,"6'2""",12,true,2021-12-05 22:50:31.892832 +00:00,2021-12-05 22:23:32.388912 +00:00
122,jakobimeyerswr,Jakobi Meyers,Jakobi,Meyers,NEP,WR,25,2,North Carolina State,,200,"6'2""",16,true,2021-12-05 22:50:31.893478 +00:00,2021-12-05 22:23:32.390611 +00:00
